cust_id,first_name,last_name,gender_id,phone,addr,city_id
1,Merri,Waelchi,1,1-229-325-2871,9429 Sol Oval,1
2,Kathe,Block,1,(491) 002-0106,1251 Von Centers,2
3,Titus,Stamm,1,891-423-1722,90661 Theodore Junctions,3
4,Ona,Dicki,2,1-584-701-3504,595 Hegmann Viaduct,4
5,Teodoro,Cummerata,1,510.062.2724,592 Blanch Extensions,5
6,Wade,Williamson,2,(160) 521-1386,220 Sade Streets,6
7,Vonda,Kris,1,(100) 230-4885,6794 Barrows Bridge,7
8,Blaine,Pouros,1,665-629-3562,7157 Herzog Green,8
9,Cherise,Rempel,1,1-825-329-8895,4021 Carri Wall,9
10,Benton,Wiza,1,1-720-114-5747,3955 Buddy Isle,10
11,Jerold,Murphy,2,(500) 333-4035,873 Huel Club,11
12,Alecia,Borer,2,350.404.7814,8940 Bridgett Place,12
13,Bobbi,Hartmann,2,1-934-669-1226,72967 Richie Prairie,13
14,Jennie,Luettgen,1,625.115.4095,67991 Hills Station,14
15,Jamar,Brown,2,1-442-225-2973,59213 Torri Harbor,15
16,Bethel,Schamberger,1,952.457.2603,98809 Lueilwitz Village,16
17,Lottie,Abshire,1,680-004-8947,4777 Reid Points,17
18,Eldridge,Raynor,1,331.107.9358,54088 Medhurst Spring,18
19,Cindi,Doyle,1,353-452-1449,3640 Ferry Shores,19
20,Anibal,Bahringer,2,564.130.2816,9710 Theresia Mews,20
21,Dagny,Torp,1,(494) 139-9378,7229 Humberto Flats,21
22,Carmela,Klein,2,(751) 440-7174,8976 Toy Valley,22
23,Karl,Kuhic,2,1-387-021-7017,84444 Cathryn Court,23
24,Jerome,Feeney,2,1-852-608-8376,8242 Durgan Radial,24
25,Roxy,Langosh,2,1-149-138-8305,200 Strosin Village,25
26,Teri,Thiel,1,209.231.8439,129 Langworth Junctions,26
27,Laila,Cummerata,2,250.067.8434,82017 Gloria Fords,27
28,Brady,Crona,1,680.864.3299,140 Sal Village,28
29,Dexter,Vandervort,2,(738) 274-7181,65580 Smith Views,29
30,Jamaal,Bashirian,1,354.156.0291,312 Fae Row,30
31,Myong,Stroman,1,1-401-682-2506,63442 Kendrick Ridges,31
32,Chong,Kuhlman,2,1-790-842-4339,22068 Carmelita Landing,32
33,Cory,Sanford,1,900-820-7961,51749 Roob Shore,33
34,Edgardo,Batz,2,1-472-243-0115,157 Kate Lake,34
35,Dania,Marks,2,(464) 415-0002,83481 Keeling Underpass,35
36,Sondra,Trantow,2,219-754-1084,51131 Pfeffer Lakes,36
37,Tawana,Torp,2,207-778-9655,2694 Schoen Drive,37
38,Sylvester,Abshire,2,(436) 904-5758,65400 Myrtis Ways,38
39,Caren,Schroeder,2,(837) 542-8464,9623 Geoffrey Rue,39
40,Davida,Huel,1,(163) 692-0791,44364 Thiel Gardens,40
41,Clark,Walker,2,(795) 984-6827,141 Terry Summit,41
42,Shawnee,Haley,2,176.461.5284,3917 Borer Shores,42
43,Garth,Reilly,1,(563) 440-6362,734 Valentin Lakes,43
44,Rebbeca,Medhurst,1,522.151.4614,416 Johnson Springs,44
45,Lala,O'Kon,1,1-281-663-6545,8673 Wiley Passage,45
46,Marquerite,Cummerata,1,113.937.4360,899 Russel Crest,46
47,Crystal,Romaguera,1,(748) 790-0190,35137 MacGyver Roads,47
48,Isaiah,Dickinson,2,718-199-3596,8503 Bernier Fields,48
49,Billie,Cartwright,1,(100) 083-0015,54975 Kerri Trace,49
50,Azalee,Huels,1,864-023-4458,691 Beau Mission,50
51,Sona,Klein,1,1-754-710-5538,87395 Dwight Springs,51
52,Christoper,Cummerata,2,(610) 895-8903,813 Clark Grove,52
53,Felica,Hegmann,2,139-842-7242,3493 Fredericka Crossroad,53
54,Homer,Wiegand,1,1-100-860-4283,2517 Angla Wells,54
55,Maryjo,Cremin,1,137-748-3161,96484 Sung Ferry,55
56,Xavier,Renner,1,485-042-5093,165 Lebsack Burgs,56
57,Aaron,Marquardt,1,180.995.9879,336 Moises Crest,57
58,Vallie,Kilback,2,1-104-540-9129,169 Jarred Extensions,58
59,Mirna,Wuckert,1,1-355-101-9110,2727 Maggio Camp,59
60,Jacques,Donnelly,2,1-338-930-8336,27065 Gigi Fall,60
